design_name,reservoir_type,config_id,spectral_radius,input_scaling,leak_rate,n_seeds,narma10_val_nmse_mean,narma10_test_nmse_mean,mg_val_nmse_mean,mg_test_nmse_mean,mc_total_mean,rank_narma10_within_design,rank_mg_within_design,rank_mc_within_design,aggregate_rank_within_design,global_rank_narma10,global_rank_mg,global_rank_mc,global_aggregate_rank,delta_vs_baseline_narma10_val_nmse,delta_vs_baseline_mg_val_nmse,delta_vs_baseline_mc_total,diag_spectral_radius_mean,diag_mean_abs_eigenvalue_mean,diag_spectral_norm_mean,diag_frobenius_norm_mean,diag_density_mean,diag_henrici_departure_mean
cycle_jump_j7,cycle_jump,5033ae01f908,0.9,0.2,1.0,5,0.12623981383472044,0.11608372634284073,1.521006381751107e-12,1.2815586956067568e-12,32.40898634510133,4,1,3,2.6666666666666665,10,7,8,8.333333333333334,0.01619383272850386,4.264264805785063e-14,9.841342247036042,0.8999999999999965,0.7079742795605912,0.8999999999999961,7.2279045061688105,0.02,2.019962575251881e-08
cycle,cycle,5033ae01f908,0.9,0.2,1.0,5,0.16261854008187565,0.1519841359631393,7.922005916175037e-13,7.586045606138441e-13,36.295508112628305,4,1,3,2.6666666666666665,22,1,4,9.0,0.05257255897565907,-6.861631420757527e-13,13.727864014563014,0.8999999999999959,0.899999999999992,0.8999999999999932,8.999999999999932,0.01,5.129951034926635e-08
cycle,cycle,92815a841b21,0.9,0.15,1.0,5,0.1633038202091714,0.15416480589147813,1.1008940028753734e-12,1.0225667726067762e-12,41.27645172498917,5,3,2,3.3333333333333335,23,3,2,9.333333333333334,0.055309179320657514,-8.434186606718051e-13,16.707314463693688,0.8999999999999959,0.899999999999992,0.8999999999999932,8.999999999999932,0.01,5.129951034926635e-08
cycle_jump_j7,cycle_jump,92815a841b21,0.9,0.15,1.0,5,0.12668211038197724,0.11679947476237433,2.030724947027482e-12,1.8081920535266607e-12,35.48006370090682,5,3,2,3.3333333333333335,11,14,5,10.0,0.018687469493463366,8.641228348030364e-14,10.910926439611334,0.8999999999999965,0.7079742795605912,0.8999999999999961,7.2279045061688105,0.02,2.019962575251881e-08
cycle,cycle,b5cf1e3871f2,0.9,0.15,0.9,5,0.14801449308839823,0.13604570909117925,1.421353976501358e-12,1.3116616488559816e-12,31.14081132301385,2,4,5,3.6666666666666665,20,4,9,11.0,0.046404934300418615,-1.2685548530985316e-12,10.045044429455771,0.8999999999999959,0.899999999999992,0.8999999999999932,8.999999999999932,0.01,5.129951034926635e-08
random_sparse_baseline,random_sparse,5033ae01f908,0.9,0.2,1.0,5,0.11004598110621658,0.0990439319352855,1.4783637336932564e-12,1.4248952768911524e-12,22.56764409806529,6,1,4,3.6666666666666665,6,6,22,11.333333333333334,,,,0.8999999999999997,0.5445117183112096,1.740509729107952,8.494426466550776,0.1,0.7267123726721356
cycle,cycle,129fe242d561,0.9,0.1,1.0,5,0.16394640072009573,0.1546130236266541,1.7840407192519023e-12,1.6601289354059795e-12,48.49282598406897,6,5,1,4.0,24,9,1,11.333333333333334,0.05662799410889091,-1.4983884317576693e-12,21.344675530744016,0.8999999999999959,0.899999999999992,0.8999999999999932,8.999999999999932,0.01,5.129951034926635e-08
cycle_jump_j7,cycle_jump,0292ac89d7b8,0.9,0.2,0.9,5,0.11030457321809592,0.1040566668455987,1.8523947222728678e-12,1.5606813737308515e-12,25.79783496692666,1,2,6,3.0,7,10,17,11.333333333333334,0.007884869353330298,-1.4596081602338065e-13,6.211765372785198,0.8999999999999965,0.7079742795605912,0.8999999999999961,7.2279045061688105,0.02,2.019962575251881e-08
cycle,cycle,0292ac89d7b8,0.9,0.2,0.9,5,0.14814569802280825,0.13383908528350572,9.82601701343489e-13,9.254896814563145e-13,28.1308301714008,3,2,6,3.6666666666666665,21,2,12,11.666666666666666,0.04572599415804263,-1.0157538369527594e-12,8.544760577259336,0.8999999999999959,0.899999999999992,0.8999999999999932,8.999999999999932,0.01,5.129951034926635e-08
cycle_jump_j3,cycle_jump,5033ae01f908,0.9,0.2,1.0,5,0.13284320206318162,0.12131713042170049,1.4524198866361857e-12,1.2920596325746617e-12,27.541989099757945,4,1,3,2.6666666666666665,16,5,14,11.666666666666666,0.022797220956965042,-2.59438470570707e-14,4.9743450016926545,0.8999999999999997,0.7079742795605938,0.8999999999999992,7.227904506168839,0.02,1.1662259365746388e-08
random_sparse_baseline,random_sparse,92815a841b21,0.9,0.15,1.0,5,0.10799464088851388,0.09808456875042745,1.9443126635471785e-12,1.834248523100348e-12,24.569137261295484,5,2,2,3.0,5,12,19,12.0,,,,0.9000483710563902,0.544540833896994,1.7406043158025821,8.494887365594455,0.1,0.7267123726721353
cycle_jump_j7,cycle_jump,129fe242d561,0.9,0.1,1.0,5,0.12756422240981719,0.11743668718107958,3.1595776219043493e-12,2.8449033480698185e-12,39.27111930905615,6,5,1,4.0,13,20,3,12.0,0.02024581579861237,-1.2285152910522235e-13,12.122968855731191,0.8999999999999965,0.7079742795605912,0.8999999999999961,7.2279045061688105,0.02,2.019962575251881e-08
cycle_jump_j7,cycle_jump,b5cf1e3871f2,0.9,0.15,0.9,5,0.11072583137119049,0.10445752902957708,2.4531471945893247e-12,2.178185094414249e-12,28.017331923194945,2,4,5,3.6666666666666665,8,17,13,12.666666666666666,0.009116272583210877,-2.3676163501056484e-13,6.9215650296368665,0.8999999999999965,0.7079742795605912,0.8999999999999961,7.2279045061688105,0.02,2.019962575251881e-08
cycle_jump_j3,cycle_jump,92815a841b21,0.9,0.15,1.0,5,0.13307060900809323,0.12127187891960298,1.8773177356939083e-12,1.6902086767255106e-12,30.259202562131357,5,3,2,3.3333333333333335,17,11,11,13.0,0.02507596811957935,-6.699492785327018e-14,5.690065300835872,0.8999999999999997,0.7079742795605938,0.8999999999999992,7.227904506168839,0.02,1.1662259365746388e-08
random_sparse_baseline,random_sparse,0292ac89d7b8,0.9,0.2,0.9,5,0.10241970386476562,0.09556966738205348,1.9983555382962484e-12,1.907970486456748e-12,19.586069594141463,3,3,6,4.0,3,13,24,13.333333333333334,,,,0.9000483710563918,0.5445408338969933,1.7406043158025806,8.494887365594447,0.1,0.7267123726721356
cycle,cycle,65189332b1c4,0.9,0.1,0.9,5,0.1473895684454118,0.13904807929729096,2.2521353055225823e-12,2.0853556303101447e-12,35.44851235914213,1,6,4,3.6666666666666665,19,15,6,13.333333333333334,0.045835677577126616,-2.24636108890849e-12,12.24563631434706,0.8999999999999959,0.899999999999992,0.8999999999999932,8.999999999999932,0.01,5.129951034926635e-08
random_sparse_baseline,random_sparse,129fe242d561,0.9,0.1,1.0,5,0.10731840661120481,0.09819178465302114,3.2824291510095716e-12,3.1632159677928594e-12,27.148150453324956,4,5,1,3.3333333333333335,4,21,16,13.666666666666666,,,,0.8999999999999979,0.5445117183112096,1.740509729107951,8.494426466550772,0.1,0.7267123726721353
cycle_jump_j3,cycle_jump,0292ac89d7b8,0.9,0.2,0.9,5,0.12686292245442368,0.1164381214800462,1.6425529884947784e-12,1.4784972168245487e-12,22.656136000881276,1,2,6,3.0,12,8,21,13.666666666666666,0.02444321858965806,-3.5580254980147e-13,3.0700664067398122,0.8999999999999997,0.7079742795605938,0.8999999999999992,7.227904506168839,0.02,1.1662259365746388e-08
cycle_jump_j7,cycle_jump,65189332b1c4,0.9,0.1,0.9,5,0.11166961967020621,0.10545865241726686,4.182794559525741e-12,3.773008644919703e-12,30.886501358393975,3,6,4,4.333333333333333,9,23,10,14.0,0.010115728801921034,-3.157018349053309e-13,7.683625313598906,0.8999999999999965,0.7079742795605912,0.8999999999999961,7.2279045061688105,0.02,2.019962575251881e-08
random_sparse_baseline,random_sparse,b5cf1e3871f2,0.9,0.15,0.9,5,0.10160955878797961,0.09521304786444137,2.6899088295998895e-12,2.5438947510866123e-12,21.09576689355808,2,4,5,3.6666666666666665,2,18,23,14.333333333333334,,,,0.9000483710563938,0.5445408338969939,1.7406043158025817,8.494887365594451,0.1,0.7267123726721353
