task,task_global_rank,design_name,reservoir_type,config_id,spectral_radius,input_scaling,leak_rate,task_val_metric,global_aggregate_rank,aggregate_rank_within_design,rank_narma10_within_design,rank_mg_within_design,rank_mc_within_design,global_rank_narma10,global_rank_mg,global_rank_mc,diag_spectral_radius_mean,diag_spectral_norm_mean,diag_henrici_departure_mean,diag_transient_growth_max_mean,n_seeds,narma10_val_nmse_mean,narma10_test_nmse_mean,mg_val_nmse_mean,mg_test_nmse_mean,mc_total_mean,delta_vs_baseline_narma10_val_nmse,delta_vs_baseline_mg_val_nmse,delta_vs_baseline_mc_total,diag_mean_abs_eigenvalue_mean,diag_frobenius_norm_mean,diag_density_mean,diag_singular_value_max_mean,diag_singular_value_min_mean,diag_singular_value_mean_mean,diag_singular_value_q90_mean,diag_singular_condition_number_mean,diag_transient_growth_argmax_mean,task_test_metric
memory_capacity,1,cycle_scr,cycle,9992b49ddf96,0.95,0.05,1.0,84.34865524595547,108.66666666666667,13.666666666666666,6,34,1,68,257,1,0.9499999999999955,0.9499999999999929,4.1618156312081996e-08,0.9499999999999929,7,0.15871631968777788,0.16125890931414283,0.21070789896388525,0.1807912566067415,84.34865524595547,0.040582749590969094,-0.010949944625080588,51.45280875714912,0.949999999999992,9.499999999999927,0.01,0.9499999999999929,0.9499999999999816,0.9499999999999924,0.9499999999999929,1.0000000000000115,1.0,
memory_capacity,2,cycle_scr,cycle,dc4c45de4adf,1.0,0.1,1.0,72.91736182844888,152.0,19.0,22,33,2,211,243,2,1.0000000000000009,0.9999999999999927,0.0,0.9999999999999927,7,0.37022592866079773,0.3746322415328508,0.17634466920780162,0.13619750693009058,72.91736182844888,0.22640148235498622,0.040457899845809525,44.296648532355405,0.9999999999999967,9.999999999999927,0.01,0.9999999999999927,0.9999999999999927,0.9999999999999927,0.9999999999999927,1.0,1.0,
memory_capacity,3,cycle_scr,cycle,92bfaaea8b8b,1.0,0.05,1.0,68.54529437930901,179.66666666666666,20.333333333333332,23,35,3,253,283,3,1.0000000000000009,0.9999999999999927,0.0,0.9999999999999927,7,0.5166417298326035,0.4965829298539017,0.28913027149722614,0.18789408789899364,68.54529437930901,0.3685550962549045,0.09164968085606504,36.42419718998391,0.9999999999999967,9.999999999999927,0.01,0.9999999999999927,0.9999999999999927,0.9999999999999927,0.9999999999999927,1.0,1.0,
memory_capacity,4,cycle_scr,cycle,957e518ffde2,0.95,0.1,1.0,64.30155107086553,97.0,12.666666666666666,4,30,4,66,221,4,0.9499999999999955,0.9499999999999929,4.1618156312081996e-08,0.9499999999999929,7,0.1568780578363518,0.1585786474389661,0.1383607680964498,0.12236886000570638,64.30155107086553,0.03982081949933604,-0.01894396198076509,35.6868922775414,0.949999999999992,9.499999999999927,0.01,0.9499999999999929,0.9499999999999816,0.9499999999999924,0.9499999999999929,1.0000000000000115,1.0,
memory_capacity,5,cycle_scr,cycle,67e56b279b44,1.0,0.2,1.0,55.39853593298911,104.66666666666667,15.0,14,26,5,118,191,5,1.0000000000000009,0.9999999999999927,0.0,0.9999999999999927,7,0.24496438546842492,0.2552214854551706,0.09074566085928103,0.08200339998985794,55.39853593298911,0.10012818947805108,-0.005774138323434236,31.219407575047725,0.9999999999999967,9.999999999999927,0.01,0.9999999999999927,0.9999999999999927,0.9999999999999927,0.9999999999999927,1.0,1.0,
memory_capacity,6,cycle_scr,cycle,6bda54231a65,0.95,0.05,0.9,52.28430684724911,102.33333333333333,13.666666666666666,3,32,6,63,238,6,0.9499999999999955,0.9499999999999929,4.1618156312081996e-08,0.9499999999999929,7,0.1533487834419865,0.15289521641311987,0.17147585122449005,0.14949565100508758,52.28430684724911,0.047082612059024365,-0.0433250670953719,24.38430895968527,0.949999999999992,9.499999999999927,0.01,0.9499999999999929,0.9499999999999816,0.9499999999999924,0.9499999999999929,1.0000000000000115,1.0,
memory_capacity,7,cycle_scr,cycle,2e460f1e65c7,1.0,0.05,0.9,48.565455114790915,121.33333333333333,17.666666666666668,15,31,7,122,235,7,1.0000000000000009,0.9999999999999927,0.0,0.9999999999999927,7,0.25430290359127816,0.24342479413895773,0.1647594488208121,0.14444313654612476,48.565455114790915,0.14927564811323513,-0.014242687457620529,19.40587529600249,0.9999999999999967,9.999999999999927,0.01,0.9999999999999927,0.9999999999999927,0.9999999999999927,0.9999999999999927,1.0,1.0,
memory_capacity,8,cycle_jump_j7,cycle_jump,9992b49ddf96,0.95,0.05,1.0,48.20650661862787,107.66666666666667,14.666666666666666,8,35,1,43,272,8,0.9499999999999942,0.9499999999999958,0.0,0.9499999999999958,7,0.13241966774707967,0.1318744297597234,0.25533047433249156,0.22796297614689306,48.20650661862787,0.014286097650270876,0.03367263074352572,15.310660129821521,0.7473061839806244,7.629454756511522,0.02,0.9499999999999958,0.5115384615384593,0.7473061839806243,0.9387432473268917,1.8571428571428574,1.0,
memory_capacity,9,cycle_jump_j3,cycle_jump,9992b49ddf96,0.95,0.05,1.0,45.878004379936996,107.33333333333333,14.0,7,34,1,53,260,9,0.9500000000000018,0.9499999999999993,0.0,0.9499999999999993,7,0.1387623718278252,0.13876835250195035,0.22005713390062734,0.20012815929852237,45.878004379936996,0.020628801731016402,-0.001600709688338503,12.982157891130647,0.7473061839806271,7.62945475651155,0.02,0.9499999999999993,0.5115384615384612,0.747306183980627,0.9387432473268947,1.8571428571428574,1.0,
memory_capacity,10,cycle_scr,cycle,96af7170b8b0,1.0,0.1,0.9,44.929516957355496,105.66666666666667,15.666666666666666,10,29,8,94,213,10,1.0000000000000009,0.9999999999999927,0.0,0.9999999999999927,7,0.2199362086938787,0.2169255894376782,0.11696011261174431,0.09904639052153222,44.929516957355496,0.11699567285609028,-0.004218801662966398,19.028805023118462,0.9999999999999967,9.999999999999927,0.01,0.9999999999999927,0.9999999999999927,0.9999999999999927,0.9999999999999927,1.0,1.0,
memory_capacity,11,cycle_scr,cycle,9e51842d34ab,0.95,0.2,1.0,44.409394275120476,92.66666666666667,13.666666666666666,5,27,9,67,200,11,0.9499999999999955,0.9499999999999929,4.1618156312081996e-08,0.9499999999999929,7,0.15775255055433698,0.1611305284778514,0.09943843208638302,0.09063202068294027,44.409394275120476,0.039110462222993816,-0.004751796262439267,20.864543814116487,0.949999999999992,9.499999999999927,0.01,0.9499999999999929,0.9499999999999816,0.9499999999999924,0.9499999999999929,1.0000000000000115,1.0,
memory_capacity,12,cycle_scr,cycle,0e41bf66b8bb,0.95,0.1,0.9,43.35539617696529,94.0,13.333333333333334,2,28,10,62,208,12,0.9499999999999955,0.9499999999999929,4.1618156312081996e-08,0.9499999999999929,7,0.14911646616582688,0.15019082306858636,0.11004242862164368,0.09651571685057987,43.35539617696529,0.05089067379216289,-0.03563345209248636,18.471719758975897,0.949999999999992,9.499999999999927,0.01,0.9499999999999929,0.9499999999999816,0.9499999999999924,0.9499999999999929,1.0000000000000115,1.0,
