task,group_name,group_kind,task_global_rank,config_id,spectral_radius,input_scaling,leak_rate,task_val_metric,task_test_metric,global_aggregate_rank
narma10,multiscale_three_random,multiscale,1,4d2160951482,1.0,0.2,0.9,0.0956872416021031,0.10034427988230311,93.0
narma10,random_sparse_baseline,random_sparse,3,0e41bf66b8bb,0.95,0.1,0.9,0.098225792373664,0.10603445294414622,90.66666666666667
narma10,multiscale_two_random,multiscale,8,259248d07a08,0.95,0.2,0.9,0.10391139171330963,0.10533005118068596,102.66666666666667
narma10,cycle_jump_j7,cycle_jump,19,96af7170b8b0,1.0,0.1,0.9,0.11336909917392303,0.11718050323948738,87.66666666666667
narma10,cycle_jump_j3,cycle_jump,35,259248d07a08,0.95,0.2,0.9,0.12345433647254145,0.12735209061069333,85.66666666666667
narma10,cycle_scr,cycle,54,259248d07a08,0.95,0.2,0.9,0.14201086112350716,0.14626654375842763,89.0
narma10,nonnormal_chain_g0_3,nonnormal_chain,127,9e51842d34ab,0.95,0.2,1.0,0.26198654495850204,0.2656527355465411,151.33333333333334
narma10,nonnormal_chain_g0_6,nonnormal_chain,192,4e018c35c4e2,1.0,0.4,0.9,0.3317275216951807,0.34133620061481473,204.33333333333334
narma10,nonnormal_chain_g0_1,nonnormal_chain,207,4e018c35c4e2,1.0,0.4,0.9,0.35956953155292054,7.738660368267987,201.0
mackey_glass,nonnormal_chain_g0_6,nonnormal_chain,1,f59210cf20da,1.0,1.0,0.5,0.011119886296114035,0.010169848124878146,144.33333333333334
mackey_glass,nonnormal_chain_g0_3,nonnormal_chain,2,4e018c35c4e2,1.0,0.4,0.9,0.011381919377828759,0.009827560469904085,126.66666666666667
mackey_glass,random_sparse_baseline,random_sparse,3,b07b757cf213,1.4,1.5,0.3,0.011941128470514864,0.010959888729748004,127.33333333333333
mackey_glass,cycle_jump_j3,cycle_jump,4,9af27047188b,1.2,1.5,0.3,0.011957113459748512,0.010934189353774595,120.0
mackey_glass,cycle_jump_j7,cycle_jump,6,b07b757cf213,1.4,1.5,0.3,0.012362046316868037,0.01131682539389009,146.66666666666666
mackey_glass,cycle_scr,cycle,10,b07b757cf213,1.4,1.5,0.3,0.013364150909812716,0.012813628377884079,168.33333333333334
mackey_glass,multiscale_two_random,multiscale,17,b07b757cf213,1.4,1.5,0.3,0.01428793385824515,0.012546626263676086,120.0
mackey_glass,multiscale_three_random,multiscale,34,059a4ddb8c9d,1.4,1.0,0.3,0.016611340787335865,0.015177241276779654,122.66666666666667
mackey_glass,nonnormal_chain_g0_1,nonnormal_chain,63,957e518ffde2,0.95,0.1,1.0,0.02107668231737554,0.017712401824716034,177.66666666666666
memory_capacity,cycle_scr,cycle,1,9992b49ddf96,0.95,0.05,1.0,84.34865524595547,,108.66666666666667
memory_capacity,cycle_jump_j7,cycle_jump,8,9992b49ddf96,0.95,0.05,1.0,48.20650661862787,,107.66666666666667
memory_capacity,cycle_jump_j3,cycle_jump,9,9992b49ddf96,0.95,0.05,1.0,45.878004379936996,,107.33333333333333
memory_capacity,random_sparse_baseline,random_sparse,29,9992b49ddf96,0.95,0.05,1.0,32.89584648880635,,105.66666666666667
memory_capacity,multiscale_two_random,multiscale,49,9992b49ddf96,0.95,0.05,1.0,23.326152320713796,,122.66666666666667
memory_capacity,multiscale_three_random,multiscale,50,9992b49ddf96,0.95,0.05,1.0,23.232229707053886,,119.33333333333333
memory_capacity,nonnormal_chain_g0_6,nonnormal_chain,206,9e51842d34ab,0.95,0.2,1.0,4.067869696574784,,256.6666666666667
memory_capacity,nonnormal_chain_g0_3,nonnormal_chain,210,9e51842d34ab,0.95,0.2,1.0,3.765185454653845,,151.33333333333334
memory_capacity,nonnormal_chain_g0_1,nonnormal_chain,222,9e51842d34ab,0.95,0.2,1.0,3.085312746169009,,177.33333333333334
