task,group_name,group_kind,task_global_rank,config_id,spectral_radius,input_scaling,leak_rate,task_val_metric,task_test_metric,global_aggregate_rank
delay_recall,cycle_scr,esn,1,9992b49ddf96,0.95,0.05,1.0,84.76317455569536,84.06547033518518,19.666666666666668
delay_recall,simple_rnn,torch_simple_rnn,3,b7104fa59923,,,,66.37971520746525,65.75850374611905,10.0
delay_recall,tapped_delay_ridge,tapped_delay_ridge,5,9a9199a75441,,,,50.0,50.0,21.333333333333332
delay_recall,cycle_jump_j7,esn,7,9992b49ddf96,0.95,0.05,1.0,48.11449320112865,48.06642301952991,21.666666666666668
delay_recall,lstm,torch_lstm,11,58e109cc028f,,,,35.66298211703621,34.86828879210798,13.333333333333334
delay_recall,random_sparse_baseline,esn,16,9992b49ddf96,0.95,0.05,1.0,32.43499665138683,32.718779179165516,23.0
delay_recall,multiscale_three_random,esn,22,9992b49ddf96,0.95,0.05,1.0,23.789301410056364,23.86214392865016,25.666666666666668
delay_recall,nonnormal_chain_g0_3,esn,43,9e51842d34ab,0.95,0.2,1.0,2.7711284081331846,2.949034562394645,32.0
narma10,simple_rnn,torch_simple_rnn,1,8e28073ddfcb,,,,0.01619387248695994,0.018044734597254954,8.0
narma10,multiscale_three_random,esn,6,4d2160951482,1.0,0.2,0.9,0.0956872416021031,0.10034427988230311,21.666666666666668
narma10,random_sparse_baseline,esn,8,0e41bf66b8bb,0.95,0.1,0.9,0.09823604473788065,0.10603864638529889,21.666666666666668
narma10,cycle_jump_j7,esn,12,96af7170b8b0,1.0,0.1,0.9,0.11336909917392303,0.11718050323948738,19.666666666666668
narma10,cycle_scr,esn,18,259248d07a08,0.95,0.2,0.9,0.14201086112350716,0.14626654375842763,20.333333333333332
narma10,tapped_delay_ridge,tapped_delay_ridge,19,9a9199a75441,,,,0.15554651981521614,0.1602516523920514,21.333333333333332
narma10,lstm,torch_lstm,22,c7d9c0de5940,,,,0.17045031666915594,0.19003609146211403,19.0
narma10,nonnormal_chain_g0_3,esn,32,9e51842d34ab,0.95,0.2,1.0,0.26198654495850204,0.2656527355465411,32.0
mackey_glass,lstm,torch_lstm,1,2fd4392c51ef,,,,0.0011415727273782494,0.001083777362862267,20.666666666666668
mackey_glass,nonnormal_chain_g0_3,esn,7,4e018c35c4e2,1.0,0.4,0.9,0.011381919377828759,0.009827560469904085,29.333333333333332
mackey_glass,random_sparse_baseline,esn,8,b07b757cf213,1.4,1.5,0.3,0.011941754529989638,0.010960156964838976,29.333333333333332
mackey_glass,cycle_jump_j7,esn,9,b07b757cf213,1.4,1.5,0.3,0.012362046316868037,0.01131682539389009,32.333333333333336
mackey_glass,cycle_scr,esn,11,b07b757cf213,1.4,1.5,0.3,0.013364150909812716,0.012813628377884079,33.333333333333336
mackey_glass,simple_rnn,torch_simple_rnn,14,8e28073ddfcb,,,,0.015822457854024825,0.01715257615448633,8.0
mackey_glass,multiscale_three_random,esn,16,059a4ddb8c9d,1.4,1.0,0.3,0.016611340787335865,0.015177241276779654,31.666666666666668
mackey_glass,tapped_delay_ridge,tapped_delay_ridge,40,9a9199a75441,,,,0.2532644532202934,0.23231001128988876,21.333333333333332
