task,task_global_rank,design_name,reservoir_type,config_id,spectral_radius,input_scaling,leak_rate,task_val_metric,task_test_metric,global_aggregate_rank,aggregate_rank_within_design,rank_narma10_within_design,rank_mg_within_design,rank_mc_within_design,global_rank_narma10,global_rank_mg,global_rank_mc,n_seeds,narma10_val_nmse_mean,narma10_val_nmse_std,narma10_test_nmse_mean,narma10_test_nmse_std,mg_val_nmse_mean,mg_val_nmse_std,mg_test_nmse_mean,mg_test_nmse_std,mc_total_mean,mc_total_std
narma10,1,region_selection_multitask_v1,random_sparse,0e41bf66b8bb,0.95,0.1,0.9,0.09823604473795843,0.10603864638535014,26.333333333333332,26.333333333333332,1,64,14,1,64,14,7,0.09823604473795843,0.023810514201903485,0.10603864638535014,0.02147262563547025,0.14568633253250327,0.04311036471586258,0.13538877985882927,0.02701295805118275,24.883676417989395,0.8787414056357811
narma10,2,region_selection_multitask_v1,random_sparse,259248d07a08,0.95,0.2,0.9,0.0986959452759673,0.10574561094908745,26.333333333333332,26.333333333333332,2,52,25,2,52,25,7,0.0986959452759673,0.02272351773442307,0.10574561094908745,0.021334535159007687,0.09443992929648658,0.028441627232189244,0.08816391188456432,0.01824431101445624,20.71513930814197,0.6111989626913585
narma10,3,region_selection_multitask_v1,random_sparse,0292ac89d7b8,0.9,0.2,0.9,0.10035999921662886,0.1047226637755829,29.333333333333332,29.333333333333332,3,58,27,3,58,27,7,0.10035999921662886,0.016808511675209633,0.1047226637755829,0.016914533218528212,0.11067722137399456,0.027239232377931674,0.10304933212463405,0.016492883367738097,19.404787502262415,0.5166170793187683
narma10,4,region_selection_multitask_v1,random_sparse,65189332b1c4,0.9,0.1,0.9,0.10088198785255435,0.10643271834554022,31.333333333333332,31.333333333333332,4,71,19,4,71,19,7,0.10088198785255435,0.01724214690984032,0.10643271834554022,0.017148271496307977,0.17298385137560524,0.0382864919026434,0.15928385700635236,0.02327875582603645,23.101802706947574,0.6384842987987112
narma10,5,region_selection_multitask_v1,random_sparse,96af7170b8b0,1.0,0.1,0.9,0.10294053583786308,0.11113856810172078,25.666666666666668,25.666666666666668,5,61,11,5,61,11,7,0.10294053583786308,0.030418948629606767,0.11113856810172078,0.02879426387112568,0.12116398429879463,0.04283195353740562,0.11125344507848298,0.024551249757203984,25.90776417012582,1.7066356724757732
narma10,6,region_selection_multitask_v1,random_sparse,4d2160951482,1.0,0.2,0.9,0.10429849768969486,0.1121008496391832,26.666666666666668,26.666666666666668,6,51,23,6,51,23,7,0.10429849768969486,0.03044569794911216,0.1121008496391832,0.027642882289427326,0.08151593822018545,0.03196726692181816,0.07649563069404422,0.021083398416285114,21.791118676892857,1.0226933784318746
narma10,7,region_selection_multitask_v1,random_sparse,2e460f1e65c7,1.0,0.05,0.9,0.10501266014807309,0.1127358234284926,28.0,28.0,7,73,4,7,73,4,7,0.10501266014807309,0.02979607589960913,0.1127358234284926,0.028900161033880833,0.17900213627839628,0.06355423613444107,0.16439481073766293,0.0373405017403634,29.15957981878848,2.184411830872146
narma10,8,region_selection_multitask_v1,random_sparse,5d7efc63ccdb,0.8,0.2,0.9,0.10542981905358143,0.10837884267278568,34.666666666666664,34.666666666666664,8,65,31,8,65,31,7,0.10542981905358143,0.01270836607296248,0.10837884267278568,0.013203715811747582,0.15170319636750018,0.03681052037512531,0.14166551094430307,0.024203806669235602,17.088879204082502,0.39159213291434936
narma10,9,region_selection_multitask_v1,random_sparse,6bda54231a65,0.95,0.05,0.9,0.10628038209451766,0.11183178778779856,31.333333333333332,31.333333333333332,9,77,8,9,77,8,7,0.10628038209451766,0.024687855008281575,0.11183178778779856,0.020223220937646454,0.21474995308639605,0.0586298060254648,0.19870373967640992,0.04627340267248255,27.89999788756387,1.4178736645627665
narma10,10,region_selection_multitask_v1,random_sparse,4e018c35c4e2,1.0,0.4,0.9,0.11014100312510944,0.11547648388966406,29.0,29.0,10,45,32,10,45,32,7,0.11014100312510944,0.03064243492059058,0.11547648388966406,0.030590692363382944,0.06499147747842526,0.019457073098723496,0.06003900921125921,0.01394625912756797,17.04370521913636,0.6914045887020729
narma10,11,region_selection_multitask_v1,random_sparse,5033ae01f908,0.9,0.2,1.0,0.11157238392410908,0.11175936655013752,30.666666666666668,30.666666666666668,11,60,21,11,60,21,7,0.11157238392410908,0.020385433808353042,0.11175936655013752,0.020714252555348315,0.12029849451612304,0.03389791786172794,0.1125287937731474,0.020024764549486467,22.11900139971006,0.7304558600910351
narma10,12,region_selection_multitask_v1,random_sparse,129fe242d561,0.9,0.1,1.0,0.11179243622820367,0.11137700251686193,32.0,32.0,12,74,10,12,74,10,7,0.11179243622820367,0.022129284171025287,0.11137700251686193,0.02197242253262949,0.18291918410426825,0.04129666233194263,0.16769469662501552,0.023523588036641882,26.65701537035469,0.861605433036338
narma10,13,region_selection_multitask_v1,random_sparse,a041111b9a85,0.8,0.1,0.9,0.11376463243924072,0.11533025421114884,40.0,40.0,13,79,28,13,79,28,7,0.11376463243924072,0.01801089172507335,0.11533025421114884,0.013353659182713199,0.23076776558559522,0.03246413282122939,0.20976408951742367,0.02501488565689767,19.379908720441613,0.756275556084479
narma10,14,region_selection_multitask_v1,random_sparse,3d29e97f411f,0.9,0.05,1.0,0.11486026140315679,0.11462035793286984,33.0,33.0,14,82,3,14,82,3,7,0.11486026140315679,0.021870076384664316,0.11462035793286984,0.020100500642093788,0.25021396464054235,0.04841104942528086,0.22885171452505876,0.044033251486482135,30.19005142872157,1.2535977958976048
narma10,15,region_selection_multitask_v1,random_sparse,957e518ffde2,0.95,0.1,1.0,0.11705723833701485,0.11736805405613475,29.666666666666668,29.666666666666668,15,67,7,15,67,7,7,0.11705723833701485,0.024864101927230434,0.11736805405613475,0.021260743126963348,0.15730473007763796,0.04838524998561322,0.14636201906392726,0.028812644078853384,28.61583627084132,1.1033013372376548
narma10,16,region_selection_multitask_v1,random_sparse,16217e21e3f8,0.9,0.05,0.9,0.11708791772794937,0.11966701090846696,36.666666666666664,36.666666666666664,16,81,13,16,81,13,7,0.11708791772794937,0.02379139496499278,0.11966701090846696,0.015330196217495085,0.24144647976091363,0.05021383364680843,0.2244663604279414,0.04962818526687215,25.398526628842234,1.3148756508341388
narma10,17,region_selection_multitask_v1,random_sparse,7712fc84886e,0.8,0.1,1.0,0.11753540616682391,0.11815147600148747,40.0,40.0,17,83,20,17,83,20,7,0.11753540616682391,0.01890396284059544,0.11815147600148747,0.019125321753129223,0.25141654440917555,0.03421759139642475,0.22680671969540986,0.028954851490291266,22.43075947167134,0.805572376069132
narma10,18,region_selection_multitask_v1,random_sparse,4bf4f06eba9c,0.8,0.2,1.0,0.11802681171915363,0.11785560312774464,39.0,39.0,18,70,29,18,70,29,7,0.11802681171915363,0.018066407125863777,0.11785560312774464,0.019827192357926834,0.16851876804608276,0.04060381729351671,0.15718546104541006,0.023247657243340065,19.086896452531217,0.5342447668443
narma10,19,region_selection_multitask_v1,random_sparse,9992b49ddf96,0.95,0.05,1.0,0.11813708918544151,0.11784248901622077,32.666666666666664,32.666666666666664,19,78,1,19,78,1,7,0.11813708918544151,0.025511221013220012,0.11784248901622077,0.020367742903792715,0.22165784358814403,0.05746953084428288,0.20228168800490093,0.04405516995436546,32.89584648880624,1.4238614339358138
narma10,20,region_selection_multitask_v1,random_sparse,9e51842d34ab,0.95,0.2,1.0,0.11863376760581594,0.11781851543839894,31.333333333333332,31.333333333333332,20,56,18,20,56,18,7,0.11863376760581594,0.02436718697200872,0.11781851543839894,0.0212959065737788,0.10419022834963179,0.031501606694346526,0.09603139224345283,0.020873267330327985,23.54603571151059,0.8614009451578702
narma10,21,region_selection_multitask_v1,random_sparse,06e693b517d4,1.05,0.2,0.9,0.12407438612373357,0.12834522738577725,33.333333333333336,33.333333333333336,21,55,24,21,55,24,7,0.12407438612373357,0.04375013275334051,0.12834522738577725,0.041593526736772704,0.09772293999783542,0.0584279930476748,0.09244865429568112,0.05701821359121519,21.75792545131307,2.385211920976966
