config_id,spectral_radius,input_scaling,leak_rate,best_ridge_mode,val_nmse_mean,val_nmse_std,test_nmse_mean,test_nmse_std,n_seeds
72f84ae81d5b,0.7,0.1,0.6,1e-08,8.373592886873071e-10,2.1253471606638972e-10,7.878016872035216e-10,2.1272188437446734e-10,3
25de579150b8,0.7,0.1,1.0,1e-08,9.91456614262554e-10,1.5801148218260092e-10,8.142739450804891e-10,1.5671471542410487e-10,3
5dacf2ac3539,0.7,0.2,0.6,1e-08,4.204705424237221e-10,4.902626399983313e-11,3.758533827804561e-10,4.798604795186687e-11,3
aeb751998e63,0.7,0.2,1.0,1e-08,2.556036380985807e-10,5.483990224340755e-11,2.1897804749546564e-10,5.5761760776389175e-11,3
9c67a6f86fa9,0.9,0.1,0.6,1e-08,5.087591785076203e-10,8.402203673509483e-11,4.4539047373854196e-10,5.7228713524754824e-11,3
129fe242d561,0.9,0.1,1.0,1e-08,2.696061420763592e-10,1.0048382308558538e-10,2.3598421759676257e-10,8.355086273507932e-11,3
bf8866ab4036,0.9,0.2,0.6,1e-08,1.6951551019058922e-10,5.207723199377886e-11,1.6863914346371112e-10,3.943880291952445e-11,3
5033ae01f908,0.9,0.2,1.0,1e-08,1.4747458361256465e-10,3.130694773914132e-11,1.194833591370127e-10,3.385086857533691e-11,3
4624975b8b19,1.1,0.1,0.6,1e-08,8.96531120688721e-09,9.939752604831199e-09,3.0873990816053577e-09,2.0023640449123923e-09,3
ae031b6366dd,1.1,0.1,1.0,1e-08,1.7108344954553465e-07,2.1156939988138026e-07,1.7816285866959248e-07,2.49731238923989e-07,3
10b5d24c62b0,1.1,0.2,0.6,1e-08,8.083411303964263e-08,1.1390185721007139e-07,8.067340836812958e-10,7.383465394907089e-10,3
9bba7c25d761,1.1,0.2,1.0,1e-08,4.6539955742386004e-08,6.564903339621654e-08,1.0776801313431854e-07,1.522399249251295e-07,3
