config_id,spectral_radius,input_scaling,leak_rate,best_ridge_mode,val_nmse_mean,val_nmse_std,test_nmse_mean,test_nmse_std,n_seeds
3027d42332fd,0.6,0.05,0.5,1e-10,2.0758519803477944e-10,3.9589687674119095e-11,2.1984677297296638e-10,4.692600118542647e-11,5
a6e97c82bcea,0.6,0.05,0.6,1e-10,1.2372014537139726e-10,1.6259296732106016e-11,1.313267021807204e-10,1.8836342319007332e-11,5
9f183bf72dbc,0.6,0.05,0.7,1e-10,5.733032958582747e-11,9.364090656295494e-12,6.205529451868419e-11,1.0671549134063851e-11,5
eca525dfdc66,0.6,0.05,0.8,1e-10,3.1295790625943064e-11,4.481899928107262e-12,3.540601380230892e-11,6.094116575023981e-12,5
d1d6c7e29003,0.6,0.05,0.9,1e-10,2.716810554787391e-11,6.53659492618888e-12,3.202036439024124e-11,8.43603107184383e-12,5
61cb13fdaada,0.6,0.05,1.0,1e-10,3.2574183544314416e-11,9.079358368894581e-12,3.8888838821975064e-11,1.110533700997344e-11,5
b0a388a69d7d,0.6,0.1,0.5,1e-10,6.99360561821205e-11,2.2397437508478817e-11,6.675933063528608e-11,2.0818255717428427e-11,5
0f7757481bd5,0.6,0.1,0.6,1e-10,5.4782328051635344e-11,8.040255866811857e-12,5.208776797336902e-11,7.821633844085308e-12,5
25bd86eebe2f,0.6,0.1,0.7,1e-10,3.395865857035187e-11,4.095125869443086e-12,3.2365731128329315e-11,4.05993900857688e-12,5
b2c749c6874f,0.6,0.1,0.8,1e-10,1.7858588506949083e-11,3.1680795230044366e-12,1.721076394555693e-11,3.0038065455978816e-12,5
a14dc19eb1fe,0.6,0.1,0.9,1e-10,1.0218626552522544e-11,1.9964034023218445e-12,1.0216820820936923e-11,2.0250224706913895e-12,5
1aa88b85cacc,0.6,0.1,1.0,1e-10,7.629167134953187e-12,1.6970289887673771e-12,8.160444850988583e-12,2.0482859929238746e-12,5
15dc672d4001,0.6,0.15,0.5,1e-10,3.8237389193257386e-11,1.1281837690460465e-11,3.606091111394101e-11,1.0419166902000692e-11,5
da4cfa8dabb2,0.6,0.15,0.6,1e-10,3.040875923778737e-11,9.605226852896816e-12,2.802349181283965e-11,8.63781910377191e-12,5
b47cc3cca0cd,0.6,0.15,0.7,1e-10,2.2641773919143918e-11,2.0941960073525736e-12,2.0946141341342682e-11,2.1493638735096995e-12,5
d3e30772a0a7,0.6,0.15,0.8,1e-10,1.3466422999995394e-11,1.009745349458737e-12,1.258294631870602e-11,1.1007053481341461e-12,5
8ae48826d829,0.6,0.15,0.9,1e-10,7.677850850231536e-12,7.714815992740671e-13,7.34692642481333e-12,9.441690989064802e-13,5
9063c377d58e,0.6,0.15,1.0,1e-10,5.019741529912161e-12,8.490729195311903e-13,5.022225139067435e-12,1.0747489748404943e-12,5
dc754c86358d,0.6,0.2,0.5,1e-10,2.6418274234164375e-11,5.873823980171942e-12,2.4811754651597747e-11,5.598543782889943e-12,5
8db45fe2202f,0.6,0.2,0.6,1e-10,1.9493792071313354e-11,7.545747728888606e-12,1.77321690808774e-11,6.770619460289788e-12,5
ad3d30f90afe,0.6,0.2,0.7,1e-10,1.6335827561832055e-11,3.734081569315193e-12,1.488602499291289e-11,3.3338856069646272e-12,5
e9eae8b2ca4e,0.6,0.2,0.8,1e-10,1.11647598610321e-11,1.0752570547799622e-12,1.0275229459469964e-11,1.15936943514139e-12,5
0ba5d3b2b52c,0.6,0.2,0.9,1e-10,6.976590429418061e-12,4.687958652446539e-13,6.519943563960169e-12,6.509542310088068e-13,5
e8362232f904,0.6,0.2,1.0,1e-10,4.645149920008762e-12,5.800020695950198e-13,4.449041526565358e-12,7.342527301910245e-13,5
e5d26cba92a0,0.6,0.3,0.5,1e-10,1.7726391685165324e-11,3.2007057692388207e-12,1.6403215895326043e-11,3.078945192344249e-12,5
52760813c871,0.6,0.3,0.6,1e-10,1.0796470910733401e-11,3.638479606258989e-12,1.0032776301912251e-11,3.645221492003597e-12,5
d60a77474b87,0.6,0.3,0.7,1e-10,9.161884625578797e-12,2.975348933496816e-12,8.555025614647272e-12,2.902737484535556e-12,5
54ccd29e45ed,0.6,0.3,0.8,1e-10,7.724041553495994e-12,1.8207397542260694e-12,7.233129157139716e-12,1.7293740776615435e-12,5
62d97647ac56,0.6,0.3,0.9,1e-10,6.173190796854302e-12,1.197941719745104e-12,5.744574566128039e-12,1.0649451971011686e-12,5
af27e14ad131,0.6,0.3,1.0,1e-10,4.835237478160763e-12,9.283159234446738e-13,4.4461965833976675e-12,7.764335127878237e-13,5
786a5ebf09c1,0.6,0.4,0.5,1e-10,1.6624807422362078e-11,2.906296807701327e-12,1.5015106680236154e-11,2.414482811906155e-12,5
d7a95944c457,0.6,0.4,0.6,1e-10,9.532352838094791e-12,2.4436199779971553e-12,8.996388086103129e-12,2.617165436710093e-12,5
71985f2b3cac,0.6,0.4,0.7,1e-10,7.1737435894463836e-12,2.4668807009965673e-12,6.8922972539839616e-12,2.4459327845278426e-12,5
d8e9c3ab2524,0.6,0.4,0.8,1e-10,5.734952023214559e-12,2.0459232378731837e-12,5.543395080165688e-12,1.930148142961385e-12,5
c8503090418a,0.6,0.4,0.9,1e-10,4.746947210163468e-12,1.5229794695685487e-12,4.552517363945072e-12,1.3507616911374712e-12,5
f8ac2775ac41,0.6,0.4,1.0,1e-10,4.085162266482839e-12,1.1812245366651895e-12,3.834994901582249e-12,9.538470954041255e-13,5
6889a48b57ab,0.7,0.05,0.5,1e-10,9.910177520451952e-11,1.7324030930180976e-11,9.775757327539856e-11,1.8866760955134143e-11,5
4f45ab3701e0,0.7,0.05,0.6,1e-10,6.108712339174508e-11,3.5260456727539557e-12,6.097874127626465e-11,5.524013099550646e-12,5
ceee6b7602f2,0.7,0.05,0.7,1e-10,5.4344949369066674e-11,8.003671591830252e-12,5.497277512021562e-11,9.89951225884259e-12,5
2b6b533a6eee,0.7,0.05,0.8,1e-10,4.007250456125672e-11,1.0560755105081955e-11,4.0745879046308835e-11,1.1422714773464915e-11,5
6e9fce6c8a9f,0.7,0.05,0.9,1e-10,2.4675911549703274e-11,8.465358459231375e-12,2.532744219823846e-11,8.559579205481112e-12,5
243378fb693a,0.7,0.05,1.0,1e-10,1.5086981266141348e-11,4.806319399519204e-12,1.5875573435283652e-11,4.695198395346107e-12,5
adc4d1ebebf2,0.7,0.1,0.5,1e-10,4.5133101296243553e-11,8.567436268011736e-12,4.489265850115533e-11,9.045652619571636e-12,5
72f84ae81d5b,0.7,0.1,0.6,1e-10,2.2403989862176692e-11,3.651573577258617e-12,2.1597255574879088e-11,4.035594761642052e-12,5
f8869541ea23,0.7,0.1,0.7,1e-10,1.647985032863098e-11,1.9316271195038027e-12,1.5509822276827263e-11,2.005192400753319e-12,5
b7ca5cc723dc,0.7,0.1,0.8,1e-10,1.5219127330872517e-11,2.017892918098423e-12,1.4225669461717771e-11,2.196801102099487e-12,5
26e138b087c3,0.7,0.1,0.9,1e-10,1.2382898998235646e-11,2.6570801977504528e-12,1.1467734621233325e-11,2.4011603154672447e-12,5
25de579150b8,0.7,0.1,1.0,1e-10,8.950905289348742e-12,2.9586287138343182e-12,8.191684890075198e-12,2.4315977639896475e-12,5
0a746aa19511,0.7,0.15,0.5,1e-10,2.6155146299249708e-11,5.446181072209472e-12,2.5521360505741544e-11,5.700388061119564e-12,5
156850c8e8b6,0.7,0.15,0.6,1e-10,1.3765271540658283e-11,3.130465504655506e-12,1.3142879743610016e-11,3.1384625747725227e-12,5
5b64961deeb5,0.7,0.15,0.7,1e-10,8.763431784441351e-12,1.5996098510675505e-12,8.073946117336055e-12,1.5164595548420755e-12,5
1aa27eda48ff,0.7,0.15,0.8,1e-10,8.20771620334176e-12,1.1068962574853501e-12,7.508498375731226e-12,1.1719611938175433e-12,5
aacbc395b88c,0.7,0.15,0.9,1e-10,7.380539394746764e-12,9.296351074040422e-13,6.797651452104373e-12,9.757634530440354e-13,5
8bffc079700d,0.7,0.15,1.0,1e-10,5.789592884590249e-12,1.0395761884026244e-12,5.380298520560245e-12,9.44651219637605e-13,5
436b06916e16,0.7,0.2,0.5,1e-10,1.7863833000247863e-11,4.167145027237593e-12,1.6892462115430918e-11,4.165247880260272e-12,5
5dacf2ac3539,0.7,0.2,0.6,1e-10,9.667811425996092e-12,2.1169128362349655e-12,9.125277750595442e-12,2.2141228921707253e-12,5
7d41b535bebe,0.7,0.2,0.7,1e-10,5.589962507057073e-12,1.2069326388327428e-12,5.090872114121913e-12,1.1949320455750327e-12,5
15d61a684a93,0.7,0.2,0.8,1e-10,4.982749167403916e-12,1.071370038138153e-12,4.461546976498344e-12,9.4563205853997e-13,5
40baa4e14728,0.7,0.2,0.9,1e-10,4.926063057243434e-12,7.340760894052154e-13,4.446644556601162e-12,6.588195719093301e-13,5
aeb751998e63,0.7,0.2,1.0,1e-10,4.4296354999332075e-12,5.887092001594604e-13,4.053379633891401e-12,4.927102636155053e-13,5
c80ccdb43523,0.7,0.3,0.5,1e-10,1.1643238220062054e-11,3.3525148587595977e-12,1.0454543467010447e-11,2.4186080816273545e-12,5
04cd2014c754,0.7,0.3,0.6,1e-10,6.6535775067811255e-12,1.6979994689187046e-12,6.06201025438872e-12,1.7165858978005935e-12,5
7e4c0ec18bd1,0.7,0.3,0.7,1e-10,3.885456514202937e-12,1.191177310517402e-12,3.668059477974224e-12,1.4631883196988022e-12,5
fc504b853d09,0.7,0.3,0.8,1e-10,2.8888520182783208e-12,6.435969901139686e-13,2.770640909470138e-12,8.017953923476061e-13,5
