config_id,spectral_radius,input_scaling,leak_rate,best_ridge_mode,val_nmse_mean,val_nmse_std,test_nmse_mean,test_nmse_std,n_seeds
3027d42332fd,0.6,0.05,0.5,1e-10,0.26290362484137647,0.023097337220935984,0.24494431512972564,0.014629605201541988,5
a6e97c82bcea,0.6,0.05,0.6,1e-10,0.2494032635379022,0.022054107538550336,0.22977078265400874,0.013214317326613366,5
9f183bf72dbc,0.6,0.05,0.7,1e-10,0.23207182886232167,0.025161653219317997,0.21109303168412624,0.008844636781073034,5
eca525dfdc66,0.6,0.05,0.8,1e-10,0.19406781729586875,0.029816204349791785,0.16794532590872813,0.008464279274182508,5
d1d6c7e29003,0.6,0.05,0.9,1e-10,0.19030256555917788,0.031481876167992896,0.16299163491296917,0.007604429187101646,5
61cb13fdaada,0.6,0.05,1.0,1e-10,0.19784841842275996,0.032167594769808724,0.16893202397239374,0.006908057170100197,5
b0a388a69d7d,0.6,0.1,0.5,1e-10,0.23574467047922631,0.026180913672860833,0.2231000696362401,0.014091040287560832,5
0f7757481bd5,0.6,0.1,0.6,1e-10,0.22052368078440604,0.024606171444120088,0.206508684479005,0.013109801507074328,5
25bd86eebe2f,0.6,0.1,0.7,1e-10,0.20503333590286116,0.02702453350515422,0.18754877901025124,0.009084555272018652,5
b2c749c6874f,0.6,0.1,0.8,1e-10,0.17008070540522355,0.030764654574346066,0.1472905945609792,0.008469860977109384,5
a14dc19eb1fe,0.6,0.1,0.9,1e-10,0.17392172954617124,0.0338865463264678,0.14987853127294135,0.01080894121849424,5
1aa88b85cacc,0.6,0.1,1.0,1e-10,0.1843816497929457,0.035281051536471944,0.1585469821472095,0.012874719492628214,5
15dc672d4001,0.6,0.15,0.5,1e-10,0.22624187234565615,0.02639185805676364,0.21599975701700477,0.015244345725203487,5
da4cfa8dabb2,0.6,0.15,0.6,1e-10,0.2095559187192218,0.022898597093690905,0.19672048412918877,0.013151636034303017,5
b47cc3cca0cd,0.6,0.15,0.7,1e-10,0.1943307797808484,0.02454616459858837,0.17639530109278284,0.00680920761248137,5
d3e30772a0a7,0.6,0.15,0.8,1e-10,0.1584195612180665,0.032166025539734126,0.13516938098787346,0.010337270439592811,5
8ae48826d829,0.6,0.15,0.9,1e-10,0.16516196418738602,0.03661414887191076,0.14077815410992067,0.014088644593838748,5
9063c377d58e,0.6,0.15,1.0,1e-10,0.1759968162533195,0.04008735512246723,0.15048042820399504,0.01812801612679676,5
dc754c86358d,0.6,0.2,0.5,1e-10,0.22264744036231546,0.025706369715797813,0.21297533158428678,0.016111275942468167,5
8db45fe2202f,0.6,0.2,0.6,1e-10,0.2056473036325825,0.022426433044685258,0.19220602464870834,0.01292168726391163,5
ad3d30f90afe,0.6,0.2,0.7,1e-10,0.18981840720636517,0.022908276593134182,0.17119424117083182,0.0061928155084551035,5
e9eae8b2ca4e,0.6,0.2,0.8,1e-10,0.15417269235295739,0.03099634809089848,0.12916849864962926,0.010242665919816343,5
0ba5d3b2b52c,0.6,0.2,0.9,1e-10,0.16011176397953536,0.03749853185858299,0.13490729283748082,0.015347550746941857,5
e8362232f904,0.6,0.2,1.0,1e-10,0.17213515910103033,0.04091875512854978,0.14642611926689963,0.017525035523863683,5
